16
1,6,3,7,7,7,5,7,4,3,4,1,5,7,5,6
3,15,15,14,11,15,5,15,7,15,6,3,5,13,5,14
10,9,14,8,11,15,4,11,15,15,13,15,7,7,7,14
11,7,15,6,11,13,6,10,10,9,7,15,15,15,15,14
11,14,10,11,15,7,14,11,15,6,9,14,11,15,15,14
11,15,15,13,12,9,15,15,14,11,7,14,11,15,14,8
11,15,15,5,7,7,15,13,12,8,8,9,14,11,15,4
11,15,15,7,14,11,14,3,6,3,7,5,15,15,15,6
11,15,15,13,15,15,14,9,14,9,15,7,15,15,14,8
11,15,15,6,11,15,15,7,15,5,14,11,15,15,13,6
9,15,15,14,8,9,15,15,15,7,12,9,15,15,6,8
3,14,11,14,3,7,15,15,15,15,5,6,10,9,15,6
11,13,13,12,10,11,13,13,13,13,6,11,13,7,14,8
11,7,7,7,13,15,7,7,7,7,15,15,7,13,14,2
9,15,15,13,5,15,13,15,15,13,15,12,10,3,13,14
1,13,13,5,4,8,1,13,12,1,13,4,8,8,1,12
