14
1,6,1,7,7,7,7,7,4,3,5,7,7,6
3,13,7,15,15,15,15,15,6,11,7,13,15,12
11,7,15,15,15,15,15,15,14,11,15,7,12,2
9,15,15,15,15,15,15,15,14,9,13,15,7,14
2,11,15,12,11,15,15,15,14,1,6,11,14,10
11,13,13,7,15,15,13,13,13,5,13,15,15,14
8,3,7,15,15,14,3,6,2,3,7,15,12,10
3,15,13,15,15,14,9,13,15,15,15,14,2,8
11,13,7,15,13,14,3,7,15,13,15,15,15,6
11,5,15,13,7,15,15,14,11,6,10,11,15,14
11,7,15,7,12,9,14,11,15,13,15,15,15,14
11,15,12,10,1,6,10,11,15,7,15,15,15,14
11,15,7,13,5,15,15,15,14,11,15,14,9,14
9,13,13,5,5,13,13,13,12,9,13,13,5,12
