14
1,6,3,7,6,3,5,7,7,6,3,5,4,2
3,14,11,14,10,9,6,10,11,15,15,7,6,10
11,14,10,9,15,7,14,10,10,11,15,15,13,14
11,15,15,4,11,13,13,13,13,15,15,15,5,14
11,15,15,4,9,7,6,3,5,15,15,13,6,8
10,10,11,4,2,9,13,13,7,15,14,3,15,6
11,15,15,5,13,4,3,7,13,13,15,15,13,12
11,15,14,3,7,6,9,12,3,5,15,14,2,2
9,15,12,11,15,15,7,5,15,7,14,11,15,14
3,15,7,15,15,15,13,7,15,12,11,14,8,10
9,15,13,12,11,15,7,12,8,3,15,13,5,12
3,14,3,6,9,14,9,5,4,11,14,2,3,6
8,9,15,15,6,11,6,3,7,15,15,15,15,14
1,5,12,9,12,8,8,9,13,13,13,13,13,12
