16
1,6,1,7,4,2,3,4,1,5,7,5,6,2,3,6
2,9,5,14,1,13,14,2,2,3,12,1,13,13,14,10
9,6,2,10,2,1,14,11,13,15,4,2,2,1,14,8
1,14,10,10,11,6,10,8,2,9,7,14,9,6,11,4
3,15,13,12,8,9,14,2,10,3,14,11,6,9,13,6
10,10,2,1,7,7,13,13,13,12,8,8,11,4,3,14
8,9,15,7,12,10,3,4,1,7,6,3,13,4,8,8
3,4,8,10,1,13,12,3,6,8,11,15,5,7,5,6
11,4,3,15,5,5,7,13,12,2,8,8,3,12,2,10
11,6,8,9,7,4,11,4,3,12,2,1,15,4,9,14
10,8,3,7,15,6,8,1,15,5,15,5,13,4,2,8
9,7,12,8,8,11,7,6,10,1,15,4,1,7,15,4
2,9,6,1,5,14,8,10,8,1,15,5,5,14,9,4
11,4,9,4,1,14,2,11,4,1,12,2,2,11,4,2
10,2,3,7,7,14,11,12,2,3,6,11,15,15,7,12
9,13,12,8,8,8,9,5,12,8,9,12,8,8,9,4
