16
1,6,1,7,5,5,5,6,2,1,7,5,4,3,7,4
1,15,4,8,1,7,4,10,11,4,10,3,4,10,10,2
3,13,7,4,3,14,3,15,14,1,15,12,1,14,11,12
8,1,14,3,14,9,12,8,8,2,10,2,3,13,15,6
1,7,12,10,8,1,7,5,6,10,9,15,12,3,14,8
1,14,1,13,6,3,12,3,14,11,5,14,2,8,9,4
3,13,5,5,15,15,4,8,8,10,2,9,14,1,7,4
10,1,5,7,14,10,3,7,6,8,10,1,14,2,11,6
8,2,2,8,8,9,14,9,12,1,14,2,10,10,8,10
2,11,14,3,5,4,11,7,4,1,14,10,9,14,3,12
11,14,9,14,2,3,12,8,3,6,9,14,3,13,12,2
10,8,3,13,14,11,5,4,8,10,2,9,14,1,7,12
10,2,11,4,9,13,7,5,7,12,9,5,15,7,14,2
8,11,13,7,4,2,10,2,11,6,2,3,14,10,11,14
1,15,4,11,5,12,8,9,14,11,13,12,8,10,10,8
1,13,4,9,4,1,5,5,12,8,1,5,5,12,9,4
