14
1,6,3,4,2,3,7,5,4,3,7,7,5,4
2,11,13,7,13,14,11,7,7,15,15,15,7,6
11,15,6,11,5,14,11,15,12,9,13,15,12,10
11,15,12,11,4,11,15,13,4,3,7,15,7,12
11,15,6,11,7,13,13,7,7,15,15,15,15,6
9,13,15,12,11,5,5,13,15,15,15,15,15,12
1,5,14,3,13,6,3,6,11,15,14,11,14,2
3,5,15,15,4,11,13,12,11,15,15,14,11,14
11,5,15,15,7,13,5,7,15,15,15,14,8,8
11,7,14,11,13,7,7,15,14,11,14,10,3,6
10,11,14,11,7,14,9,15,15,15,14,11,15,12
11,15,13,13,15,14,3,15,15,14,11,13,14,2
10,11,7,5,12,10,11,12,11,15,15,4,11,14
9,13,13,5,4,9,13,5,13,13,13,4,9,12
