14
1,5,7,7,4,2,1,6,1,7,7,7,7,6
2,2,11,13,7,13,7,15,5,15,13,12,10,8
10,11,14,3,14,1,14,8,3,15,7,7,15,6
10,10,8,10,11,7,12,1,14,10,9,13,15,14
9,15,6,11,13,15,7,7,14,9,7,5,13,14
2,11,14,11,7,12,8,9,13,7,15,7,7,14
10,11,14,10,11,6,3,6,3,15,15,14,9,12
11,14,8,11,14,8,9,13,15,14,10,10,3,4
11,15,5,14,11,7,5,7,15,14,8,11,13,6
10,11,5,14,11,15,7,14,10,10,3,12,3,12
11,13,5,15,14,9,13,15,15,15,15,7,15,6
11,4,3,14,9,7,7,15,15,14,8,11,15,14
9,6,10,11,7,12,11,14,9,14,1,14,11,14
1,13,12,9,13,4,9,13,5,13,5,13,12,8
