14
1,7,6,3,4,3,7,4,3,4,2,1,7,6
1,15,13,13,6,8,11,7,14,3,13,7,14,10
3,15,6,2,10,2,8,10,8,10,1,15,14,10
11,15,15,15,14,10,1,14,1,15,5,13,14,8
11,15,15,14,11,13,5,12,2,10,3,7,13,4
9,14,11,13,15,7,6,1,15,13,15,15,4,2
3,15,12,3,12,10,11,6,11,6,8,9,6,10
9,15,6,10,3,14,9,12,9,13,5,5,15,14
3,12,10,11,15,15,7,6,1,7,7,6,11,14
11,7,14,9,15,14,10,11,7,13,15,15,15,14
11,13,13,4,11,12,11,15,13,5,14,11,13,14
10,2,2,2,10,3,15,15,7,7,15,14,1,14
11,15,15,13,13,15,14,11,15,15,12,9,7,14
9,12,9,5,4,9,13,13,13,13,4,1,13,12
