14
1,6,2,1,7,4,2,2,3,7,4,2,1,6
3,14,11,5,13,4,9,14,11,15,5,15,5,14
11,14,10,2,2,3,7,15,15,15,7,15,5,12
11,14,11,15,15,15,15,15,14,9,13,13,7,6
11,13,15,12,11,15,15,15,15,5,5,6,11,12
9,4,11,6,9,15,12,11,14,3,6,10,11,6
1,6,11,15,6,10,3,14,11,13,14,11,13,12
1,15,13,14,11,12,9,12,11,6,11,14,1,6
3,15,6,10,11,7,4,2,11,13,12,11,6,10
11,14,9,15,13,14,3,15,12,2,2,11,15,14
11,13,7,15,6,11,15,15,6,11,15,14,10,10
10,1,14,10,8,9,14,10,9,15,14,9,15,14
11,5,13,13,6,3,15,15,7,15,15,5,12,10
9,5,5,4,9,12,9,13,12,9,12,1,5,12
