14
1,6,1,6,1,5,5,6,3,7,5,7,7,6
3,15,7,12,1,5,7,15,15,15,7,15,14,8
11,15,15,7,7,7,15,15,15,14,10,9,15,4
10,9,15,15,13,14,10,11,15,15,14,3,15,4
11,7,14,11,5,14,9,12,10,11,15,13,15,6
9,14,11,13,7,14,1,5,14,9,15,5,15,12
2,9,12,3,14,10,3,6,11,7,12,1,15,6
11,6,3,15,15,14,9,13,15,14,3,7,12,10
11,13,15,15,15,12,3,5,15,13,15,15,7,14
11,7,14,11,15,5,13,7,12,3,14,11,15,14
9,13,15,14,9,6,1,13,7,15,15,13,15,14
3,6,9,13,7,14,2,3,15,15,15,7,15,14
11,15,7,5,15,13,13,15,15,15,13,15,14,10
9,13,13,5,13,5,5,13,12,9,5,13,13,12
