16
1,5,7,5,6,2,2,1,5,6,3,7,6,2,1,6
1,5,15,4,8,10,9,5,6,11,12,8,10,11,5,14
3,5,13,6,3,13,4,1,14,8,1,6,9,12,1,14
9,5,4,10,11,5,5,6,10,3,7,12,3,5,5,12
1,5,6,11,13,5,6,10,11,12,9,5,14,3,4,2
2,3,13,15,4,1,12,9,13,6,3,4,11,12,2,10
11,13,4,10,1,5,5,5,5,13,14,3,14,2,9,14
8,1,6,9,6,3,6,3,6,1,14,8,11,12,3,12
2,2,9,6,10,10,8,11,12,2,11,4,11,4,11,4
10,9,5,13,12,10,2,11,5,14,10,2,10,3,15,4
10,3,4,3,6,11,13,12,1,15,13,14,10,10,9,4
11,15,4,8,9,13,6,1,7,15,4,8,11,13,5,6
10,11,5,5,7,5,12,1,14,9,4,1,13,4,2,8
10,11,4,2,9,4,3,5,15,4,2,3,5,4,10,2
10,11,7,15,5,6,8,2,10,3,13,15,7,6,11,14
8,8,8,8,1,12,1,13,13,12,1,12,8,9,12,8
