16
1,5,5,6,3,6,1,6,3,5,5,6,3,5,4,2
3,5,7,14,9,14,2,10,11,7,7,15,12,2,2,10
8,1,12,10,3,13,13,15,14,8,10,11,5,12,11,12
2,3,7,15,14,2,1,14,8,3,14,8,3,5,15,4
10,8,10,10,8,9,6,11,5,14,11,4,10,3,13,6
11,4,10,8,2,2,11,12,1,12,11,5,12,8,2,8
10,3,13,4,11,12,9,7,5,6,10,3,5,7,15,4
9,14,2,3,12,2,2,11,6,8,11,15,4,8,8,2
1,15,14,10,3,12,10,9,12,1,12,11,4,1,6,10
2,8,10,9,14,3,12,3,6,2,1,15,5,4,9,14
10,1,15,6,11,14,2,8,11,13,7,14,1,6,2,10
11,5,15,12,9,15,14,3,13,7,15,15,7,14,9,14
9,5,14,3,4,10,11,12,1,12,8,10,11,12,1,14
2,3,13,12,1,12,9,4,1,7,5,13,15,4,1,14
11,14,3,7,7,6,3,5,5,13,6,1,14,2,1,14
9,12,8,8,8,9,13,5,5,4,9,4,9,13,5,12
