16
1,6,1,6,3,4,1,7,4,2,1,5,5,6,3,4
2,10,1,14,10,1,7,13,4,10,3,5,4,9,13,6
10,10,2,11,14,2,11,4,2,10,9,7,7,5,5,14
9,13,14,8,11,14,10,2,11,14,2,8,10,3,4,10
2,3,12,2,8,9,15,14,11,13,13,6,9,12,3,12
11,12,3,13,5,5,14,9,15,6,2,10,3,4,11,6
10,3,12,1,7,4,8,1,12,8,11,15,14,3,12,8
10,9,6,1,14,1,6,3,6,3,12,8,9,13,6,2
10,3,13,5,13,7,15,13,12,8,1,5,5,5,15,12
10,10,2,1,6,10,11,7,4,2,2,1,5,6,9,6
10,11,13,6,9,12,10,8,2,9,13,7,5,15,4,8
11,12,1,13,6,1,13,4,11,7,6,9,6,9,4,2
8,3,7,5,13,5,5,7,12,10,9,5,15,4,3,12
3,14,8,2,2,2,3,13,6,8,1,5,14,3,15,4
8,9,4,11,13,15,14,1,13,7,5,6,9,14,8,2
1,5,5,13,4,8,9,5,4,9,4,9,4,9,5,12
