14
1,7,4,3,6,2,3,7,5,7,7,6,3,6
3,15,7,15,15,12,11,13,7,13,15,15,14,10
11,15,13,15,15,7,14,3,15,7,15,12,11,14
10,11,7,15,14,11,15,12,10,8,11,5,15,14
11,15,15,15,15,13,14,2,8,3,15,6,9,14
10,9,15,15,15,5,13,15,7,15,15,15,7,14
11,4,10,11,14,2,3,14,11,14,10,10,11,14
11,7,13,15,15,14,9,12,11,15,14,11,13,14
10,9,7,14,9,14,3,7,14,11,15,14,3,14
11,5,15,13,6,11,15,15,15,14,11,15,13,14
9,4,11,4,11,13,15,13,14,9,15,15,6,10
2,3,15,6,11,5,15,7,15,7,15,14,11,12
11,14,10,9,13,5,14,11,12,11,15,14,11,6
9,12,9,4,1,5,13,13,5,13,12,8,8,8
