16
1,6,2,3,7,5,6,2,2,3,5,4,2,3,4,2
2,10,9,14,8,1,15,13,15,13,5,4,9,13,5,14
9,13,7,13,5,6,9,4,10,1,5,7,5,4,2,10
3,6,8,1,7,14,1,7,12,1,5,15,5,5,13,14
8,9,6,3,12,8,2,11,7,4,2,9,6,2,1,12
1,7,14,9,6,3,14,8,11,4,10,1,15,12,1,6
3,12,10,2,10,10,9,5,15,6,10,1,15,6,1,14
11,4,11,14,8,10,2,3,14,11,12,3,12,11,7,12
11,4,10,10,2,11,12,9,12,11,4,8,2,8,11,6
10,1,12,9,13,13,4,1,6,8,1,6,10,3,12,10
10,1,7,7,4,1,7,4,10,2,2,9,15,12,1,12
11,5,14,8,2,1,14,3,15,13,13,7,12,2,3,4
10,1,14,2,10,3,13,14,11,6,2,11,6,9,15,6
8,2,9,13,15,14,1,14,10,10,10,10,9,6,8,10
3,12,1,6,8,10,1,14,10,9,12,8,1,15,5,14
9,5,5,13,5,13,4,9,13,5,5,4,1,13,4,8
