16
1,6,2,1,7,5,4,1,5,7,5,4,3,7,5,6
1,13,15,5,14,3,4,1,7,15,5,6,10,9,4,10
2,1,14,1,13,12,3,5,14,8,2,10,9,6,1,14
9,5,13,7,6,2,9,4,8,1,13,15,7,12,1,12
2,2,1,14,11,12,1,5,6,2,3,12,9,5,5,6
9,14,3,14,11,5,4,2,9,15,13,6,3,6,1,12
3,13,12,10,11,5,7,13,4,10,1,13,14,9,6,2
8,1,6,8,9,4,10,3,6,10,2,3,13,4,11,14
1,6,10,3,6,2,10,11,12,11,12,8,3,4,8,10
1,13,14,8,11,13,12,10,1,15,7,6,10,3,5,14
3,6,9,7,15,6,2,9,7,12,8,10,9,14,2,10
8,11,5,12,10,10,11,5,12,1,5,12,1,14,10,10
1,15,4,2,8,9,14,3,7,5,5,7,4,8,9,14
1,14,3,14,1,5,13,12,11,5,6,8,2,3,4,10
1,14,8,11,7,7,4,1,13,4,11,5,14,9,7,12
1,13,5,12,8,9,4,1,5,5,13,4,9,4,9,4
