14
1,5,6,3,5,6,3,6,3,7,7,5,7,6
3,4,11,15,7,15,15,15,15,15,15,6,8,10
11,7,15,12,11,15,12,11,15,13,14,11,7,14
10,8,11,7,14,11,5,15,13,5,15,14,10,10
11,7,15,15,12,11,7,15,7,6,10,9,14,8
11,12,8,8,3,12,11,13,12,10,8,3,15,4
10,1,5,5,14,2,11,6,1,14,3,13,15,6
11,4,3,6,10,10,9,12,3,15,14,3,13,14
8,3,13,12,11,13,7,7,15,15,13,15,7,14
3,13,5,7,15,7,12,11,13,14,3,14,9,14
8,3,7,14,10,11,7,15,7,15,15,15,5,14
1,13,14,9,15,15,13,15,12,9,12,11,7,14
3,7,14,3,14,11,5,15,7,5,6,11,15,14
8,8,9,13,13,12,1,13,13,5,13,12,9,12
